Filial,Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Data_Atualizacao,Status,Duracao,Customer_Child_Id,Vehicle_Id,Fence_Id
TLA - TRANSP. CELULOSE,SEG4H18,MANUTENCAO - UNIDAS,05/08/2025 19:02:13,06/08/2025 07:38:01,06/08/2025 08:38:12,Saiu da cerca,12h 35m,40224,577826,180913
RIBAS,SMD4C03,MANUTENCAO - LIBERADOS TRI PROPRIO,05/08/2025 21:03:18,06/08/2025 07:07:32,06/08/2025 08:07:39,Saiu da cerca,10h 4m,37775,603404,180178
TLA - TRANSP. CELULOSE,SMD4C03,MANUTENCAO - LIBERADOS TRI PROPRIO,05/08/2025 21:03:18,06/08/2025 07:07:32,06/08/2025 08:07:39,Saiu da cerca,10h 4m,37775,603404,180178
RIBAS,JCY1D88,Oficina JSL,05/08/2025 18:00:18,06/08/2025 07:04:42,06/08/2025 08:05:26,Saiu da cerca,13h 4m,45055,599261,181600
TLA - TRANSP. CELULOSE,JCY1D88,Oficina JSL,05/08/2025 18:00:18,06/08/2025 07:04:42,06/08/2025 08:05:26,Saiu da cerca,13h 4m,45055,599261,181600
RIBAS,SYD5G49,Descarga Inocencia,05/08/2025 21:04:18,06/08/2025 07:05:12,06/08/2025 08:05:18,Saiu da cerca,10h 0m,39450,612802,171260
TLA - TRANSP. CELULOSE,SYD5G49,Descarga Inocencia,05/08/2025 21:04:18,06/08/2025 07:05:12,06/08/2025 08:05:18,Saiu da cerca,10h 0m,39450,612802,171260
RIBAS,SFV9E49,PATIO TROCA,05/08/2025 05:31:00,06/08/2025 07:03:08,06/08/2025 08:03:15,Saiu da cerca,1d 1h 32m,40227,603045,148788
RIBAS,SFV9E49,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 05:31:00,06/08/2025 07:03:08,06/08/2025 08:03:15,Saiu da cerca,1d 1h 32m,40227,603045,123488
TLA - TRANSP. CELULOSE,SFV9E49,PATIO TROCA,05/08/2025 05:31:00,06/08/2025 07:03:08,06/08/2025 08:03:15,Saiu da cerca,1d 1h 32m,40227,603045,148788
TLA - TRANSP. CELULOSE,SFV9E49,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 05:31:00,06/08/2025 07:03:08,06/08/2025 08:03:15,Saiu da cerca,1d 1h 32m,40227,603045,123488
RIBAS,SYD5G49,Terminal Inocencia,05/08/2025 21:04:18,06/08/2025 06:58:11,06/08/2025 07:58:21,Saiu da cerca,9h 53m,39450,612802,185549
TLA - TRANSP. CELULOSE,SYD5G49,Terminal Inocencia,05/08/2025 21:04:18,06/08/2025 06:58:11,06/08/2025 07:58:21,Saiu da cerca,9h 53m,39450,612802,185549
RIBAS,JCO9A93,Oficina JSL,05/08/2025 18:18:34,06/08/2025 06:18:50,06/08/2025 07:18:57,Saiu da cerca,12h 0m,45055,593207,181600
TLA - TRANSP. CELULOSE,JCO9A93,Oficina JSL,05/08/2025 18:18:34,06/08/2025 06:18:50,06/08/2025 07:18:57,Saiu da cerca,12h 0m,45055,593207,181600
RIBAS,SPO5I59,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 17:15:59,06/08/2025 06:14:17,06/08/2025 07:14:26,Saiu da cerca,12h 58m,42169,609384,123488
TLA - TRANSP. CELULOSE,SPO5I59,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 17:15:59,06/08/2025 06:14:17,06/08/2025 07:14:26,Saiu da cerca,12h 58m,42169,609384,123488
RIBAS,TAO9G27,MANUTENCAO - UNIDAS,05/08/2025 19:50:59,06/08/2025 05:38:30,06/08/2025 06:38:40,Saiu da cerca,9h 47m,40224,605590,180913
TLA - TRANSP. CELULOSE,TAO9G27,MANUTENCAO - UNIDAS,05/08/2025 19:50:59,06/08/2025 05:38:30,06/08/2025 06:38:40,Saiu da cerca,9h 47m,40224,605590,180913
RIBAS,SYD5F89,Descarga Inocencia,05/08/2025 17:13:02,06/08/2025 05:35:07,06/08/2025 06:36:08,Saiu da cerca,12h 22m,39450,586853,171260
TLA - TRANSP. CELULOSE,SYD5F89,Descarga Inocencia,05/08/2025 17:13:02,06/08/2025 05:35:07,06/08/2025 06:36:08,Saiu da cerca,12h 22m,39450,586853,171260
RIBAS,SYD5F89,Terminal Inocencia,05/08/2025 17:16:58,06/08/2025 05:27:00,06/08/2025 06:27:39,Saiu da cerca,12h 10m,39450,586853,185549
RIBAS,SYD5F89,Patio Carregado INO,05/08/2025 19:45:23,06/08/2025 05:27:00,06/08/2025 06:27:39,Saiu da cerca,9h 41m,39450,586853,185552
TLA - TRANSP. CELULOSE,SYD5F89,Terminal Inocencia,05/08/2025 17:16:58,06/08/2025 05:27:00,06/08/2025 06:27:39,Saiu da cerca,12h 10m,39450,586853,185549
TLA - TRANSP. CELULOSE,SYD5F89,Patio Carregado INO,05/08/2025 19:45:23,06/08/2025 05:27:00,06/08/2025 06:27:39,Saiu da cerca,9h 41m,39450,586853,185552
RIBAS,SMD4B96,EM MANUTENCAO TRI PROPRIO,05/08/2025 14:00:13,06/08/2025 04:56:12,06/08/2025 05:56:18,Saiu da cerca,14h 55m,37775,603852,180179
TLA - TRANSP. CELULOSE,SMD4B96,EM MANUTENCAO TRI PROPRIO,05/08/2025 14:00:13,06/08/2025 04:56:12,06/08/2025 05:56:18,Saiu da cerca,14h 55m,37775,603852,180179
RIBAS,SEP8C57,PATIO SYLVAMO,05/08/2025 20:17:35,06/08/2025 04:02:39,06/08/2025 05:02:44,Saiu da cerca,7h 45m,40224,577539,171638
RIBAS,SEP8C57,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 20:17:35,06/08/2025 04:02:39,06/08/2025 05:02:44,Saiu da cerca,7h 45m,40224,577539,123488
TLA - TRANSP. CELULOSE,SEP8C57,PATIO SYLVAMO,05/08/2025 20:17:35,06/08/2025 04:02:39,06/08/2025 05:02:44,Saiu da cerca,7h 45m,40224,577539,171638
TLA - TRANSP. CELULOSE,SEP8C57,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 20:17:35,06/08/2025 04:02:39,06/08/2025 05:02:44,Saiu da cerca,7h 45m,40224,577539,123488
RIBAS,SEP7G30,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 22:17:09,06/08/2025 03:59:54,06/08/2025 05:00:02,Saiu da cerca,5h 42m,40226,576026,123488
TLA - TRANSP. CELULOSE,SEP7G30,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 22:17:09,06/08/2025 03:59:54,06/08/2025 05:00:02,Saiu da cerca,5h 42m,40226,576026,123488
RIBAS,SEP7G47,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 21:12:09,06/08/2025 03:41:19,06/08/2025 04:41:24,Saiu da cerca,6h 29m,40226,576382,123488
TLA - TRANSP. CELULOSE,SEP7G47,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 21:12:09,06/08/2025 03:41:19,06/08/2025 04:41:24,Saiu da cerca,6h 29m,40226,576382,123488
RIBAS,RWF7I25,PROJ-MONTE ALTO,05/08/2025 21:25:50,06/08/2025 03:26:39,06/08/2025 04:32:33,Saiu da cerca,6h 0m,24472,603983,184402
TLA - TRANSP. CELULOSE,RWF7I25,PROJ-MONTE ALTO,05/08/2025 21:25:50,06/08/2025 03:26:39,06/08/2025 04:32:33,Saiu da cerca,6h 0m,24472,603983,184402
RIBAS,TAK8H68,PROJ-MONTE ALTO,05/08/2025 17:44:40,06/08/2025 03:06:09,06/08/2025 04:12:35,Saiu da cerca,9h 21m,40226,600579,184402
TLA - TRANSP. CELULOSE,TAK8H68,PROJ-MONTE ALTO,05/08/2025 17:44:40,06/08/2025 03:06:09,06/08/2025 04:12:35,Saiu da cerca,9h 21m,40226,600579,184402
RIBAS,SFV9C91,PATIO TROCA,05/08/2025 19:18:18,06/08/2025 03:12:10,06/08/2025 04:12:19,Saiu da cerca,7h 53m,40227,601836,148788
RIBAS,SFV9C91,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 19:18:18,06/08/2025 03:12:10,06/08/2025 04:12:19,Saiu da cerca,7h 53m,40227,601836,123488
TLA - TRANSP. CELULOSE,SFV9C91,PATIO TROCA,05/08/2025 19:18:18,06/08/2025 03:12:10,06/08/2025 04:12:19,Saiu da cerca,7h 53m,40227,601836,148788
TLA - TRANSP. CELULOSE,SFV9C91,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 19:18:18,06/08/2025 03:12:10,06/08/2025 04:12:19,Saiu da cerca,7h 53m,40227,601836,123488
RIBAS,SLW9J70,PROJ-MONTE ALTO,05/08/2025 21:11:28,06/08/2025 03:09:05,06/08/2025 04:09:12,Saiu da cerca,5h 57m,24472,608728,184402
TLA - TRANSP. CELULOSE,SLW9J70,PROJ-MONTE ALTO,05/08/2025 21:11:28,06/08/2025 03:09:05,06/08/2025 04:09:12,Saiu da cerca,5h 57m,24472,608728,184402
RIBAS,TIU5G71,PROJ-MONTE ALTO,05/08/2025 19:52:11,06/08/2025 02:59:54,06/08/2025 04:05:59,Saiu da cerca,7h 7m,24469,612562,184402
TLA - TRANSP. CELULOSE,TIU5G71,PROJ-MONTE ALTO,05/08/2025 19:52:11,06/08/2025 02:59:54,06/08/2025 04:05:59,Saiu da cerca,7h 7m,24469,612562,184402
RIBAS,RWG4A86,PROJ-MONTE ALTO,05/08/2025 21:11:10,06/08/2025 03:00:22,06/08/2025 04:00:30,Saiu da cerca,5h 49m,40498,609097,184402
TLA - TRANSP. CELULOSE,RWG4A86,PROJ-MONTE ALTO,05/08/2025 21:11:10,06/08/2025 03:00:22,06/08/2025 04:00:30,Saiu da cerca,5h 49m,40498,609097,184402
RIBAS,SYD5G00,Descarga Inocencia,05/08/2025 21:04:39,06/08/2025 02:55:36,06/08/2025 03:59:25,Saiu da cerca,5h 50m,39450,600094,171260
RIBAS,SYD5G00,Terminal Inocencia,05/08/2025 21:11:29,06/08/2025 02:53:35,06/08/2025 03:59:25,Saiu da cerca,5h 42m,39450,600094,185549
TLA - TRANSP. CELULOSE,SYD5G00,Descarga Inocencia,05/08/2025 21:04:39,06/08/2025 02:55:36,06/08/2025 03:59:25,Saiu da cerca,5h 50m,39450,600094,171260
TLA - TRANSP. CELULOSE,SYD5G00,Terminal Inocencia,05/08/2025 21:11:29,06/08/2025 02:53:35,06/08/2025 03:59:25,Saiu da cerca,5h 42m,39450,600094,185549
RIBAS,SPO5I69,PROJ-MONTE ALTO,05/08/2025 21:12:38,06/08/2025 02:53:11,06/08/2025 03:59:15,Saiu da cerca,5h 40m,42169,610604,184402
TLA - TRANSP. CELULOSE,SPO5I69,PROJ-MONTE ALTO,05/08/2025 21:12:38,06/08/2025 02:53:11,06/08/2025 03:59:15,Saiu da cerca,5h 40m,42169,610604,184402
RIBAS,SEX4G64,MANUTENCAO - UNIDAS,05/08/2025 21:55:16,06/08/2025 02:53:46,06/08/2025 03:53:56,Saiu da cerca,4h 58m,40224,580695,180913
TLA - TRANSP. CELULOSE,SEX4G64,MANUTENCAO - UNIDAS,05/08/2025 21:55:16,06/08/2025 02:53:46,06/08/2025 03:53:56,Saiu da cerca,4h 58m,40224,580695,180913
RIBAS,CUA2F70,TROCA D TURNO BRASILA,05/08/2025 22:06:50,06/08/2025 02:37:15,06/08/2025 03:37:20,Saiu da cerca,4h 30m,24467,533626,124556
TLA - TRANSP. CELULOSE,CUA2F70,TROCA D TURNO BRASILA,05/08/2025 22:06:50,06/08/2025 02:37:15,06/08/2025 03:37:20,Saiu da cerca,4h 30m,24467,533626,124556
RIBAS,SEG4H10,PATIO SYLVAMO,05/08/2025 20:15:52,06/08/2025 02:32:33,06/08/2025 03:32:42,Saiu da cerca,6h 16m,40224,578072,171638
RIBAS,SEG4H10,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 20:15:52,06/08/2025 02:32:33,06/08/2025 03:32:42,Saiu da cerca,6h 16m,40224,578072,123488
TLA - TRANSP. CELULOSE,SEG4H10,PATIO SYLVAMO,05/08/2025 20:15:52,06/08/2025 02:32:33,06/08/2025 03:32:42,Saiu da cerca,6h 16m,40224,578072,171638
TLA - TRANSP. CELULOSE,SEG4H10,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 20:15:52,06/08/2025 02:32:33,06/08/2025 03:32:42,Saiu da cerca,6h 16m,40224,578072,123488
RIBAS,SEW9J34,PATIO SYLVAMO,05/08/2025 19:54:29,06/08/2025 02:31:22,06/08/2025 03:31:57,Saiu da cerca,6h 36m,40224,580643,171638
RIBAS,SEW9J34,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 19:56:32,06/08/2025 02:31:22,06/08/2025 03:31:57,Saiu da cerca,6h 34m,40224,580643,123488
TLA - TRANSP. CELULOSE,SEW9J34,PATIO SYLVAMO,05/08/2025 19:54:29,06/08/2025 02:31:22,06/08/2025 03:31:57,Saiu da cerca,6h 36m,40224,580643,171638
TLA - TRANSP. CELULOSE,SEW9J34,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 19:56:32,06/08/2025 02:31:22,06/08/2025 03:31:57,Saiu da cerca,6h 34m,40224,580643,123488
RIBAS,SEX4G62,PATIO SYLVAMO,05/08/2025 20:22:23,06/08/2025 02:30:34,06/08/2025 03:30:41,Saiu da cerca,6h 8m,40224,580591,171638
RIBAS,SEX4G62,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 20:22:23,06/08/2025 02:30:34,06/08/2025 03:30:41,Saiu da cerca,6h 8m,40224,580591,123488
TLA - TRANSP. CELULOSE,SEX4G62,PATIO SYLVAMO,05/08/2025 20:22:23,06/08/2025 02:30:34,06/08/2025 03:30:41,Saiu da cerca,6h 8m,40224,580591,171638
TLA - TRANSP. CELULOSE,SEX4G62,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 20:22:23,06/08/2025 02:30:34,06/08/2025 03:30:41,Saiu da cerca,6h 8m,40224,580591,123488
RIBAS,RWJ8D41,Oficina JSL,05/08/2025 07:03:30,06/08/2025 02:24:54,06/08/2025 03:24:58,Saiu da cerca,19h 21m,45053,601440,181600
TLA - TRANSP. CELULOSE,RWJ8D41,Oficina JSL,05/08/2025 07:03:30,06/08/2025 02:24:54,06/08/2025 03:24:58,Saiu da cerca,19h 21m,45053,601440,181600
RIBAS,TAK8H70,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 22:06:34,06/08/2025 02:06:52,06/08/2025 03:06:57,Saiu da cerca,4h 0m,40226,600581,123488
TLA - TRANSP. CELULOSE,TAK8H70,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 22:06:34,06/08/2025 02:06:52,06/08/2025 03:06:57,Saiu da cerca,4h 0m,40226,600581,123488
RIBAS,SEP7G35,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 18:05:02,06/08/2025 02:05:45,06/08/2025 03:05:55,Saiu da cerca,8h 0m,40226,576376,123488
TLA - TRANSP. CELULOSE,SEP7G35,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 18:05:02,06/08/2025 02:05:45,06/08/2025 03:05:55,Saiu da cerca,8h 0m,40226,576376,123488
RIBAS,RRX8H91,PROJ-MONTE ALTO,05/08/2025 19:04:45,06/08/2025 01:36:17,06/08/2025 03:02:12,Saiu da cerca,6h 31m,42169,619210,184402
TLA - TRANSP. CELULOSE,RRX8H91,PROJ-MONTE ALTO,05/08/2025 19:04:45,06/08/2025 01:36:17,06/08/2025 03:02:12,Saiu da cerca,6h 31m,42169,619210,184402
RIBAS,SLZ2E09,PROJ-BURITI III,05/08/2025 22:09:42,06/08/2025 01:53:59,06/08/2025 02:55:02,Saiu da cerca,3h 44m,22304,586772,187633
TLA - TRANSP. CELULOSE,SLZ2E09,PROJ-BURITI III,05/08/2025 22:09:42,06/08/2025 01:53:59,06/08/2025 02:55:02,Saiu da cerca,3h 44m,22304,586772,187633
RIBAS,TLO5C71,PROJ-MONTE ALTO,05/08/2025 19:41:31,06/08/2025 01:38:52,06/08/2025 02:53:56,Saiu da cerca,5h 57m,24469,612662,184402
TLA - TRANSP. CELULOSE,TLO5C71,PROJ-MONTE ALTO,05/08/2025 19:41:31,06/08/2025 01:38:52,06/08/2025 02:53:56,Saiu da cerca,5h 57m,24469,612662,184402
RIBAS,SGC5C03,PROJ-MONTE ALTO,05/08/2025 20:04:08,06/08/2025 01:45:35,06/08/2025 02:46:24,Saiu da cerca,5h 41m,40227,601992,184402
TLA - TRANSP. CELULOSE,SGC5C03,PROJ-MONTE ALTO,05/08/2025 20:04:08,06/08/2025 01:45:35,06/08/2025 02:46:24,Saiu da cerca,5h 41m,40227,601992,184402
RIBAS,SPO5I79,PROJ-MONTE ALTO,05/08/2025 19:27:50,06/08/2025 01:38:23,06/08/2025 02:44:32,Saiu da cerca,6h 10m,42169,620369,184402
TLA - TRANSP. CELULOSE,SPO5I79,PROJ-MONTE ALTO,05/08/2025 19:27:50,06/08/2025 01:38:23,06/08/2025 02:44:32,Saiu da cerca,6h 10m,42169,620369,184402
RIBAS,RWH4B89,TRAJETO FABRICA X PA,05/08/2025 15:01:16,05/08/2025 15:53:06,06/08/2025 02:42:05,Saiu da cerca,51m,41774,606967,69017
TLA - TRANSP. CELULOSE,RWH4B89,TRAJETO FABRICA X PA,05/08/2025 15:01:16,05/08/2025 15:53:06,06/08/2025 02:42:05,Saiu da cerca,51m,41774,606967,69017
RIBAS,JBJ2H81,TRAJETO FABRICA X PA,05/08/2025 21:53:41,06/08/2025 01:33:46,06/08/2025 02:38:48,Saiu da cerca,3h 40m,41774,612666,69017
TLA - TRANSP. CELULOSE,JBJ2H81,TRAJETO FABRICA X PA,05/08/2025 21:53:41,06/08/2025 01:33:46,06/08/2025 02:38:48,Saiu da cerca,3h 40m,41774,612666,69017
RIBAS,SOE4B77,PROJ-MONTE ALTO,05/08/2025 17:43:51,06/08/2025 01:09:15,06/08/2025 02:29:38,Saiu da cerca,7h 25m,39800,605964,184402
TLA - TRANSP. CELULOSE,SOE4B77,PROJ-MONTE ALTO,05/08/2025 17:43:51,06/08/2025 01:09:15,06/08/2025 02:29:38,Saiu da cerca,7h 25m,39800,605964,184402
RIBAS,TAK8H60,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 22:02:43,06/08/2025 01:27:32,06/08/2025 02:29:19,Saiu da cerca,3h 24m,40226,600577,123488
TLA - TRANSP. CELULOSE,TAK8H60,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 22:02:43,06/08/2025 01:27:32,06/08/2025 02:29:19,Saiu da cerca,3h 24m,40226,600577,123488
RIBAS,FST6F95,PROJ-MONTE ALTO,05/08/2025 17:33:24,06/08/2025 01:10:00,06/08/2025 02:27:51,Saiu da cerca,7h 36m,42528,613126,184402
TLA - TRANSP. CELULOSE,FST6F95,PROJ-MONTE ALTO,05/08/2025 17:33:24,06/08/2025 01:10:00,06/08/2025 02:27:51,Saiu da cerca,7h 36m,42528,613126,184402
RIBAS,TAK8H69,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 21:27:52,06/08/2025 01:22:11,06/08/2025 02:22:29,Saiu da cerca,3h 54m,40226,600580,123488
TLA - TRANSP. CELULOSE,TAK8H69,TROCA DE TURNO-PATIO EXTERNO,05/08/2025 21:27:52,06/08/2025 01:22:11,06/08/2025 02:22:29,Saiu da cerca,3h 54m,40226,600580,123488
RIBAS,RKO8C61,Oficina Central JSL,05/08/2025 20:35:34,06/08/2025 01:20:46,06/08/2025 02:22:08,Saiu da cerca,4h 45m,40455,604742,186960
TLA - TRANSP. CELULOSE,RKO8C61,Oficina Central JSL,05/08/2025 20:35:34,06/08/2025 01:20:46,06/08/2025 02:22:08,Saiu da cerca,4h 45m,40455,604742,186960
RIBAS,SLZ2D84,PROJ-BURITI III,05/08/2025 22:04:36,06/08/2025 01:16:26,06/08/2025 02:17:54,Saiu da cerca,3h 11m,22304,586618,187633
TLA - TRANSP. CELULOSE,SLZ2D84,PROJ-BURITI III,05/08/2025 22:04:36,06/08/2025 01:16:26,06/08/2025 02:17:54,Saiu da cerca,3h 11m,22304,586618,187633
RIBAS,RRX8I11,PROJ-MONTE ALTO,05/08/2025 15:51:32,06/08/2025 01:15:24,06/08/2025 02:16:54,Saiu da cerca,9h 23m,42169,617027,184402
TLA - TRANSP. CELULOSE,RRX8I11,PROJ-MONTE ALTO,05/08/2025 15:51:32,06/08/2025 01:15:24,06/08/2025 02:16:54,Saiu da cerca,9h 23m,42169,617027,184402
RIBAS,RIR5I81,TRAJETO PA X APARECIDA 1,05/08/2025 21:11:05,05/08/2025 21:47:16,06/08/2025 02:13:52,Saiu da cerca,36m,42244,609832,69019
TLA - TRANSP. CELULOSE,RIR5I81,TRAJETO PA X APARECIDA 1,05/08/2025 21:11:05,05/08/2025 21:47:16,06/08/2025 02:13:52,Saiu da cerca,36m,42244,609832,69019
RIBAS,GCU7B87,PROJ-MONTE ALTO,05/08/2025 16:02:53,06/08/2025 01:09:14,06/08/2025 02:10:34,Saiu da cerca,9h 6m,42528,613269,184402
TLA - TRANSP. CELULOSE,GCU7B87,PROJ-MONTE ALTO,05/08/2025 16:02:53,06/08/2025 01:09:14,06/08/2025 02:10:34,Saiu da cerca,9h 6m,42528,613269,184402
RIBAS,SLZ2D69,PROJ-BURITI III,05/08/2025 21:07:13,06/08/2025 00:57:27,06/08/2025 01:58:51,Saiu da cerca,3h 50m,22304,587032,187633
TLA - TRANSP. CELULOSE,SLZ2D69,PROJ-BURITI III,05/08/2025 21:07:13,06/08/2025 00:57:27,06/08/2025 01:58:51,Saiu da cerca,3h 50m,22304,587032,187633
RIBAS,SMG9B17,Descarga Inocencia,05/08/2025 20:59:54,05/08/2025 22:57:49,06/08/2025 01:55:38,Saiu da cerca,1h 57m,44459,613279,171260
TLA - TRANSP. CELULOSE,SMG9B17,Descarga Inocencia,05/08/2025 20:59:54,05/08/2025 22:57:49,06/08/2025 01:55:38,Saiu da cerca,1h 57m,44459,613279,171260
RIBAS,SEP8C73,MANUTENCAO - UNIDAS,05/08/2025 21:15:47,06/08/2025 00:53:30,06/08/2025 01:54:07,Saiu da cerca,3h 37m,40224,578154,180913
TLA - TRANSP. CELULOSE,SEP8C73,MANUTENCAO - UNIDAS,05/08/2025 21:15:47,06/08/2025 00:53:30,06/08/2025 01:54:07,Saiu da cerca,3h 37m,40224,578154,180913
RIBAS,SES4F86,PROJ-MONTE ALTO,05/08/2025 22:01:16,06/08/2025 00:35:53,06/08/2025 01:49:34,Saiu da cerca,2h 34m,40226,578212,184402
TLA - TRANSP. CELULOSE,SES4F86,PROJ-MONTE ALTO,05/08/2025 22:01:16,06/08/2025 00:35:53,06/08/2025 01:49:34,Saiu da cerca,2h 34m,40226,578212,184402
RIBAS,RTF1I45,TRAJETO PA X APARECIDA 1,05/08/2025 22:15:32,06/08/2025 00:47:29,06/08/2025 01:47:33,Saiu da cerca,2h 31m,40454,602866,69019
TLA - TRANSP. CELULOSE,RTF1I45,TRAJETO PA X APARECIDA 1,05/08/2025 22:15:32,06/08/2025 00:47:29,06/08/2025 01:47:33,Saiu da cerca,2h 31m,40454,602866,69019
RIBAS,SLZ2D56,PROJ-BURITI III,05/08/2025 21:02:29,06/08/2025 00:43:36,06/08/2025 01:44:25,Saiu da cerca,3h 41m,22304,587007,187633
TLA - TRANSP. CELULOSE,SLZ2D56,PROJ-BURITI III,05/08/2025 21:02:29,06/08/2025 00:43:36,06/08/2025 01:44:25,Saiu da cerca,3h 41m,22304,587007,187633
RIBAS,SYE7D14,Descarga Inocencia,05/08/2025 22:03:05,06/08/2025 00:33:33,06/08/2025 01:44:00,Saiu da cerca,2h 30m,39450,595766,171260
RIBAS,SYE7D14,Terminal Inocencia,05/08/2025 22:08:07,06/08/2025 00:33:33,06/08/2025 01:44:00,Saiu da cerca,2h 25m,39450,595766,185549
TLA - TRANSP. CELULOSE,SYE7D14,Descarga Inocencia,05/08/2025 22:03:05,06/08/2025 00:33:33,06/08/2025 01:44:00,Saiu da cerca,2h 30m,39450,595766,171260
TLA - TRANSP. CELULOSE,SYE7D14,Terminal Inocencia,05/08/2025 22:08:07,06/08/2025 00:33:33,06/08/2025 01:44:00,Saiu da cerca,2h 25m,39450,595766,185549
RIBAS,JBK3C91,TRAJETO FABRICA X PA,05/08/2025 20:50:18,05/08/2025 21:35:12,06/08/2025 01:43:30,Saiu da cerca,44m,42098,612344,69017
